Feature,Family,ConsensusRank,ConsensusScore,BaseConsensusScore,GroupedStabilityFreq,GroupedPermutation,GWO_CandidateFreq,FamilyPriority,Methods_Selected_TopK,MeanRank,MI,MI_Rank,L1AbsCoef,L1AbsCoef_Rank,RFImportance,RFImportance_Rank,ExtraTreesImportance,ExtraTreesImportance_Rank,XGBImportance,XGBImportance_Rank,UnivariateSignal,UnivariateSignal_Rank
事故参与人数_ANZPERS_2-2,other,65,0.4763401861937465,0.8648259994247914,0.3333333333333333,0.00362707408984266,0.0,0.25,3,314.3333333333333,0.0,1389.0,0.1300828171350073,160.0,0.0066802136458157715,28.0,0.00927084404402617,5.0,0.007612074725329876,18.0,0.2941586655777833,286.0
主动安全场景_ACSCE_MISSING_OR_UNKNOWN,safety,66,0.47291585764114197,0.8588582111015244,0.0,0.002633274966350574,0.0,0.8,1,328.1666666666667,0.020050513228036637,115.0,0.0,692.0,0.0006257121749303822,259.0,0.0007900676942809095,285.0,0.005286174360662699,41.0,0.13401913233173976,577.0
先期疾病2_VORKR2_2-无,other,67,0.46786805634033746,0.859217716422203,0.06666666666666667,0.01985819948421304,0.0,0.25,2,327.3333333333333,0.004649545028734714,967.0,0.0,692.0,0.0012635628078753664,169.0,0.0023175660598397973,123.0,0.016843343153595924,3.0,0.34319956260734513,10.0
VEH_与护栏碰撞的事故类型_PLANKEK_MISSING_OR_UNKNOWN,crash_type,68,0.46731348863963185,0.8257837215990796,0.13333333333333333,0.0,0.0,0.7,0,404.8333333333333,0.010854167486230137,454.0,0.0,692.0,0.0005681157527648659,278.0,0.00030484025572364627,509.0,0.0,252.0,0.31059154888769247,244.0
先期疾病3_VORKR3_2-无,other,69,0.4668327581248202,0.8983318953120506,0.0,0.0,1.0,0.25,2,236.66666666666666,0.030796575164808715,7.0,0.0,692.0,0.0007371985138056007,225.0,0.0010800731895360869,225.0,0.0,252.0,0.3326610990060722,19.0
VEH_整备质量_LGEW,other,70,0.46668941220000437,0.8655450100661489,0.3333333333333333,0.0008348331446225155,0.0,0.25,2,312.6666666666667,0.011469022102559068,420.0,0.3076920394367194,21.0,0.016446154008770433,10.0,0.004083586425768813,64.0,0.00355331739410758,106.0,0.0483296058376928,1255.0
VEH_智能前大灯控制_FLICHTASS1_2-无,light,71,0.4660389703767616,0.846347425941904,0.0,0.0,0.0,0.85,1,357.1666666666667,0.02601426261665396,28.0,0.0,692.0,0.00038796713338607684,354.0,0.00023531127006544306,601.0,0.0,252.0,0.32490853031587885,216.0
VEH_车道保持系统_SPURHAE1_9-未知,lane,72,0.46287129709519703,0.7934282427379925,0.2,0.0,0.0,0.65,1,479.8333333333333,0.0,1389.0,0.23610662100812965,45.0,0.0009100045781907541,200.0,0.0013861280774042743,185.0,0.002937096869572997,164.0,0.07434159150992269,896.0
VEH_新能源车辆电池包损坏情况_BATDAM_0-不适用,other,73,0.46260836775392733,0.884167385677308,0.06666666666666667,0.005743125313607526,0.5,0.25,0,269.5,0.012168080207915821,375.0,0.16853249500932121,96.0,0.000577050828484685,274.0,0.0007991613628747729,278.0,0.0,252.0,0.24768731868092006,342.0
公路分类_STRKL_4-省道,road_type,74,0.46199942479148687,0.8149985619787171,0.06666666666666667,0.0,0.0,0.8,0,429.8333333333333,0.012568888247471488,348.0,0.0,692.0,0.00037345999051964187,369.0,0.0007475059468179325,293.0,0.0024052385706454515,206.0,0.11007473914393061,671.0
碰撞前的行驶方向_FZGRI_MISSING_OR_UNKNOWN,crash_type,75,0.46163848144952546,0.8515962036238136,0.06666666666666667,0.0,0.0,0.7,1,345.0,0.01968078119301042,119.0,0.0,692.0,0.0005439910115621203,285.0,0.00019212308517132075,671.0,0.0,252.0,0.3292359465660748,51.0
事故路段车流量_VSTUFE_3-较多车辆,road_env,76,0.4604111302847283,0.7922778257118206,0.06666666666666667,0.0,0.0,0.85,0,482.5,0.006303197435477914,831.0,0.0,692.0,0.0003459268629869074,389.0,0.0003335527614798526,467.0,0.002666166052222252,186.0,0.25914489550433667,330.0
行驶车辆所在车道_FSTREIF_31-使用右/直车道直行,lane,77,0.4594384526890998,0.7048461317227495,0.3333333333333333,0.0,0.0,0.65,1,685.1666666666666,0.0018538792993814113,1207.0,0.4734573344152779,7.0,0.00023557065340273347,472.0,0.0005366657880120474,353.0,0.0024835080839693546,198.0,0.03034306119176878,1874.0
VEH_本次碰撞前的小碰撞_SMIMPCT_0-未碰撞,crash_type,78,0.4592513661202186,0.8456284153005464,0.06666666666666667,0.0,0.0,0.7,0,358.8333333333333,0.018461541666667802,145.0,0.0,692.0,0.0006659292155498098,247.0,0.0002613272594546656,562.0,0.0,252.0,0.3105915488876924,255.0
VEH_自动紧急制动系统_AEB1_1-有，具体未知,safety,79,0.4591233822260569,0.8078084555651422,0.06666666666666667,0.0,0.0,0.8,0,446.5,0.004434362398552105,985.0,0.05969136095224839,360.0,0.001190367699714614,172.0,0.0023129314230889656,124.0,0.0010234565706923604,241.0,0.08642075669651289,797.0
VEH_是否与柱状物碰撞_COLUCOLLI_MISSING_OR_UNKNOWN,crash_type,80,0.45907880356629277,0.8451970089157319,0.06666666666666667,0.0,0.0,0.7,2,359.8333333333333,0.02379176343255529,50.0,0.0,692.0,0.0003349175538775884,396.0,0.0001740373364196441,718.0,0.0,252.0,0.3292359465660748,51.0
VEH_照明系统类型-远光灯_SWARTF1_MISSING_OR_UNKNOWN,light,81,0.45888682772505035,0.7884670693126258,0.06666666666666667,0.0,0.0,0.85,1,491.3333333333333,0.0068116220387932636,782.0,0.0,692.0,0.0002948637879830781,416.0,0.00016222279935333643,755.0,0.0,252.0,0.3292359465660748,51.0
FEATURE_Is_Night,light,82,0.4574580097785447,0.7448950244463618,0.13333333333333333,0.0,0.0,0.85,2,592.3333333333334,0.006805313868047724,784.0,0.09629255111592887,238.0,0.0038461315273871626,51.0,0.005420222209862414,36.0,0.001910501392558217,223.0,0.003546228265856148,2222.0
路灯类型_LAMPEN_0,light,83,0.456576790336497,0.8226919758412424,0.0,0.0,0.0,0.85,0,412.0,0.007481298898495359,717.0,0.0,692.0,0.0008700125854736065,204.0,0.0008057329311579703,275.0,0.002800685353577137,177.0,0.20495542337519607,407.0
