Candidate_Feature,Family,Missing_Category_Type,Semantic_Group,Source_Group,ConsensusRank,ConsensusScore,Selected,Excluded_As_Redundant,Excluded_As_Raw_Age_Column,Excluded_As_Pure_Missing_Unknown,Replaced_By,Reason
VEH_执行紧急任务的紧急车辆_BLICHT_MISSING_OR_UNKNOWN,light,pure_missing_unknown,unknown_missing_category,BLICHT,122,0.4360130859936727,0,0,0,1,,pure_missing_unknown_excluded
道路类型_STRART_22-城市道路_主干路,road_type,not_missing_category,other_unique:STRART,STRART,123,0.43576071325855625,0,0,0,0,,
行驶方向的车道数_FSPUR_4-4,lane,not_missing_category,other_unique:行驶方向的车道数_FSPUR,行驶方向的车道数_FSPUR,124,0.4356455277538108,0,0,0,0,,
VEH_自动变道辅助_SPURWAE1_MISSING_OR_UNKNOWN,lane,pure_missing_unknown,unknown_missing_category,VEH_自动变道辅助_SPURWAE1_MISSING_OR,125,0.43557880356629275,0,0,0,1,,pure_missing_unknown_excluded
VEH_本次碰撞前是否转向_STEERING_2-向左,crash_type,not_missing_category,other_unique:VEH_本次碰撞前是否转向_STEERING,VEH_本次碰撞前是否转向_STEERING,126,0.4355527753810756,0,0,0,0,,
VEH_车道偏离报警系统_SPURHAW1_2-无,lane,not_missing_category,other_unique:VEH_车道偏离报警系统_SPURHAW1,VEH_车道偏离报警系统_SPURHAW1,127,0.4354350014380213,0,0,0,0,,
不同行驶方向车道的隔离方法_MARK_10-中央绿化带,lane,not_missing_category,other_unique:MARK,MARK,128,0.4352911993097499,0,0,0,0,,
行驶方向的车道数_FSPUR_1-1,lane,not_missing_category,other_unique:行驶方向的车道数_FSPUR,行驶方向的车道数_FSPUR,129,0.4352911993097499,0,0,0,0,,
VEH_碰撞物体_KONOBJ_0,crash_type,not_missing_category,other_unique:VEH_碰撞物体_KONOBJ,VEH_碰撞物体_KONOBJ,130,0.43526517112453267,0,0,0,0,,
VEH_本次碰撞前的驶离道路_ABKOM_4-向左侧驶离,crash_type,not_missing_category,other_unique:VEH_本次碰撞前的驶离道路_ABKOM,VEH_本次碰撞前的驶离道路_ABKOM,131,0.43522720736266896,0,0,0,0,,
VEH_钻入碰撞_UFAHR_MISSING_OR_UNKNOWN,crash_type,pure_missing_unknown,unknown_missing_category,VEH_钻入碰撞_UFAHR_MISSING_OR,132,0.43430687374173144,0,0,0,1,,pure_missing_unknown_excluded
碰撞时参与方状态_PARTISTATUS_1-运动，前进,crash_type,not_missing_category,other_unique:碰撞时参与方状态_PARTISTATUS,碰撞时参与方状态_PARTISTATUS,133,0.4341630716134599,0,0,0,0,,
年龄段_ALTERG_10-61至70岁,age,not_missing_category,age_group,ALTERG,134,0.4341630716134599,0,1,0,0,FEATURE_Age_Over60,age_group_alias_replaced_by_semantic_age_over60_feature
VEH_行人主动安全系统_FGSCHUTZ1_3-机械式弹出引擎盖,safety,not_missing_category,safety_assistance,VEH_行人主动安全系统_FGSCHUTZ1,135,0.4332010353753236,0,0,0,0,,
VEH_智能前大灯控制_FLICHTASS1_MISSING_OR_UNKNOWN,light,pure_missing_unknown,unknown_missing_category,VEH_智能前大灯控制_FLICHTASS1_MISSING_OR,136,0.4331370434282428,0,0,0,1,,pure_missing_unknown_excluded
风力_WINDV_MISSING_OR_UNKNOWN,weather,pure_missing_unknown,unknown_missing_category,WINDV,137,0.43295498993385106,0,0,0,1,,pure_missing_unknown_excluded_from_primary
VEH_自动紧急制动系统_AEB1_2-无,safety,not_missing_category,safety_assistance,VEH_自动紧急制动系统_AEB1,138,0.43285591026747194,0,0,0,0,,
道路类型_STRART_12-公路_一级公路,road_type,not_missing_category,other_unique:STRART,STRART,139,0.43245326430831177,0,0,0,0,,
事故类型_UTYP_232-转弯-右转弯车辆与并行的同向车辆,crash_type,not_missing_category,crash_configuration_type,事故类型_UTYP,140,0.4321498418176589,0,0,0,0,,
VEH_挂车是否参与碰撞_TRAIMPCT_MISSING_OR_UNKNOWN,crash_type,pure_missing_unknown,unknown_missing_category,VEH_挂车是否参与碰撞_TRAIMPCT_MISSING_OR,141,0.4320923209663503,0,0,0,1,,pure_missing_unknown_excluded
